image_filename,predicted_label
0.jpeg,Virus
1.jpeg,Healthy
10.jpeg,Healthy
100.jpeg,Pest
101.jpeg,Fungi
102.jpeg,Fungi
103.jpeg,Fungi
104.jpeg,Fungi
105.jpeg,Healthy
106.jpeg,Pest
107.jpeg,Fungi
108.jpeg,Virus
109.jpeg,Phytopthora
11.jpeg,Healthy
110.jpeg,Fungi
111.jpeg,Bacteria
112.jpeg,Fungi
113.jpeg,Fungi
114.jpeg,Virus
115.jpeg,Fungi
116.jpeg,Virus
117.jpeg,Fungi
118.jpeg,Fungi
119.jpeg,Fungi
12.jpeg,Healthy
120.jpeg,Fungi
121.jpeg,Pest
122.jpeg,Fungi
123.jpeg,Fungi
124.jpeg,Fungi
125.jpeg,Fungi
126.jpeg,Fungi
127.jpeg,Fungi
128.jpeg,Fungi
129.jpeg,Pest
13.jpeg,Healthy
130.jpeg,Fungi
131.jpeg,Fungi
132.jpeg,Fungi
133.jpeg,Fungi
134.jpeg,Fungi
135.jpeg,Fungi
136.jpeg,Fungi
137.jpeg,Fungi
138.jpeg,Pest
139.jpeg,Fungi
14.jpeg,Virus
140.jpeg,Pest
141.jpeg,Pest
142.jpeg,Bacteria
143.jpeg,Pest
144.jpeg,Virus
145.jpeg,Fungi
146.jpeg,Pest
147.jpeg,Fungi
148.jpeg,Phytopthora
149.jpeg,Fungi
15.jpeg,Fungi
150.jpeg,Fungi
151.jpeg,Fungi
152.jpeg,Fungi
153.jpeg,Pest
154.jpeg,Fungi
155.jpeg,Fungi
156.jpeg,Phytopthora
157.jpeg,Pest
158.jpeg,Fungi
159.jpeg,Healthy
16.jpeg,Fungi
160.jpeg,Pest
161.jpeg,Pest
162.jpeg,Phytopthora
163.jpeg,Virus
164.jpeg,Fungi
165.jpeg,Fungi
166.jpeg,Pest
167.jpeg,Fungi
168.jpeg,Pest
169.jpeg,Healthy
17.jpeg,Virus
170.jpeg,Pest
171.jpeg,Pest
172.jpeg,Pest
173.jpeg,Pest
174.jpeg,Pest
175.jpeg,Healthy
176.jpeg,Phytopthora
177.jpeg,Pest
178.jpeg,Pest
179.jpeg,Pest
18.jpeg,Fungi
180.jpeg,Fungi
181.jpeg,Fungi
182.jpeg,Healthy
183.jpeg,Virus
184.jpeg,Pest
185.jpeg,Fungi
186.jpeg,Phytopthora
187.jpeg,Fungi
188.jpeg,Pest
189.jpeg,Pest
19.jpeg,Pest
190.jpeg,Pest
191.jpeg,Pest
192.jpeg,Pest
193.jpeg,Pest
194.jpeg,Virus
195.jpeg,Fungi
196.jpeg,Pest
197.jpeg,Pest
198.jpeg,Fungi
199.jpeg,Pest
2.jpeg,Healthy
20.jpeg,Bacteria
200.jpeg,Pest
201.jpeg,Fungi
202.jpeg,Pest
203.jpeg,Fungi
204.jpeg,Fungi
205.jpeg,Pest
206.jpeg,Bacteria
207.jpeg,Virus
208.jpeg,Pest
209.jpeg,Fungi
21.jpeg,Virus
210.jpeg,Fungi
211.jpeg,Phytopthora
212.jpeg,Fungi
213.jpeg,Fungi
214.jpeg,Fungi
215.jpeg,Pest
216.jpeg,Fungi
217.jpeg,Fungi
218.jpeg,Healthy
219.jpeg,Pest
22.jpeg,Bacteria
220.jpeg,Phytopthora
221.jpeg,Pest
222.jpeg,Phytopthora
223.jpeg,Phytopthora
224.jpeg,Phytopthora
225.jpeg,Phytopthora
226.jpeg,Phytopthora
227.jpeg,Phytopthora
228.jpeg,Phytopthora
229.jpeg,Fungi
23.jpeg,Bacteria
230.jpeg,Pest
231.jpeg,Fungi
232.jpeg,Phytopthora
233.jpeg,Phytopthora
234.jpeg,Phytopthora
235.jpeg,Phytopthora
236.jpeg,Phytopthora
237.jpeg,Phytopthora
238.jpeg,Phytopthora
239.jpeg,Phytopthora
24.jpeg,Bacteria
240.jpeg,Phytopthora
241.jpeg,Phytopthora
242.jpeg,Bacteria
243.jpeg,Fungi
244.jpeg,Phytopthora
245.jpeg,Phytopthora
246.jpeg,Phytopthora
247.jpeg,Phytopthora
248.jpeg,Virus
249.jpeg,Virus
25.jpeg,Pest
250.jpeg,Virus
251.jpeg,Virus
252.jpeg,Bacteria
253.jpeg,Virus
254.jpeg,Virus
255.jpeg,Virus
256.jpeg,Healthy
257.jpeg,Virus
258.jpeg,Virus
259.jpeg,Virus
26.jpeg,Bacteria
260.jpeg,Virus
261.jpeg,Virus
262.jpeg,Virus
263.jpeg,Virus
264.jpeg,Virus
265.jpeg,Virus
266.jpeg,Virus
267.jpeg,Virus
268.jpeg,Virus
269.jpeg,Healthy
27.jpeg,Bacteria
270.jpeg,Virus
271.jpeg,Virus
272.jpeg,Virus
273.jpeg,Virus
274.jpeg,Phytopthora
275.jpeg,Virus
276.jpeg,Virus
277.jpeg,Fungi
278.jpeg,Pest
279.jpeg,Bacteria
